,Title,Description,Published_date,views,likes,comments,ids
0,What Keeps The Rich Going? #financewithsharan #shorts,,2024-07-04,159703,10067,104,oA_DUJ8y6YI
1,SEBI Just Sent Papers #financewithsharan #shorts,"Signing documents is always a big nightmare of mine! 😩

I always wanted some magic in this boring task.

Enter Odoo Esign, it helps you make signing documents easy.

So, don’t forget to checkout @odoo.official , because with Odoo Buisness is easy!

👉🏻 And the link is in my channel bio !!

What’s the most amount of documents you have signed in a go?

[]

#financewithsharan #partnership",2024-07-02,82643,3128,24,bZGcS7KCHxY
2,Investment Expert Talks About Why 30-40 Crores Is Required For Decent Retirement,"Register for my Retire Early Masterclass: https://bit.ly/3zlGQPn


Subscribe to The 1% Club YouTube channel:
https://www.youtube.com/@getonepercent


Join The 1% Club: https://bit.ly/3RQmSme


--

Subscribe:

The 1% Club:
YouTube : https://www.youtube.com/@getonepercent
Instagram: https://www.instagram.com/onepercentclub/
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/


Sharan Hegde:
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan


Saurabh Mukherjea:
LinkedIn: https://www.linkedin.com/in/saurabh-mukherjea-frsa-36196b2/

--

Listen to us on Spotify:
https://podcasters.spotify.com/pod/show/sharan-hegde6/

--

In today's episode we have Saurabh Mukherjea, the founder and Chief Investment Officer of Marcellus Investment Managers. Saurabh was educated at the London School of Economics where he earned a BSc in Economics (with First Class Honours) and an MSc in Economics (with distinction in Macro & Microeconomics). Saurabh is a Founding Director of the Association of Portfolio Managers in India, a trade body. He continues to be part of multiple SEBI working groups whose role is to review and reform the rules governing portfolio management in India. 

In this video, we uncover a multitude of fascinating topics:

💼 Which stock made highest money for Saurabh
🏢 Why Saurabh doesn't invest in gold
💰 How to identify the stock market
📊 How to make 10 Crores before age 50


This video is packed with priceless insights. Dive in now and share your thoughts in the comments below. Let's spark a conversation that breaks barriers! 💬👇🏻

Disclaimer: This video is for educational purposes only. 📚


------------------------------------------------------

Timeline

[0:00] Highlights
[0:36] Introduction
[1:23] Which stock made highest money for Saurabh
[3:57] When did Saurabh become crorepathi
[6:30] How to identify the stock market
[9:40] Why Saurabh doesn't invest in gold
[11:35] Highest CAGR for Saurabh
[13:23] How to invest in stock market
[15:40] FIRE Number 50 Crores
[18:40] How to make 10 Crores before age 50



-------------------------------------------------------------

Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 




#financewithsharan #finance #sharanhegde",2024-07-01,214139,4192,770,UGIUJAwASMQ
3,Finance In France #financewithsharan #shorts,"Download Niyo app from the link in my channel’s page. 

I took a long awaited Europe vacation with @go_niyo !!
 
And when I was there, my saviour was @go_niyo, whether it’s their 0 forex charge or free international lounge visits or free ATM withdrawals across the world, they helped me with everything.

(Niyo, Zero Forex, International Travel,  International Travel Card, Forex Card, Debit Card, Credit Card)

#financewithsharan #NiyoWayToTravel",2024-06-27,532829,20201,155,6ygqVesKVCA
4,Business Class vs Private Jet #financewithsharan #shorts,"Business class vs private jet !!

In the latest episode, we had serial entrepreneur and investor @aakash_idam , founder of Bellavita, who has announced his latest venture, Unikon.ai.

In this video, we uncover a multitude of fascinating topics:

💼 How Aakash manages his money
🏢 Aakash’s secrets about making money
💰 Blueprint to reach 10 Cr for 25-year-olds
📊 Real estate investment tips
🏠 The right time to buy a house
🌟 Lifestyle after a 100 Cr net worth

Watch the full episode on my YouTube channel. The link is in my bio. 

[]

#financewithsharan",2024-06-26,3315553,138700,466,SxT_V0s4TcI
5,"Investing With ₹28,000 Salary #financewithsharan #shorts","PS: I went out at least once a month so I was not a complete loner lol 

Saving and investing with ₹28,000 salary?

Lot of you dm and ask me how to start investing with first salary. 

Sharing with you how I did it at my first job in Bangalore :) 

Let me know your thoughts in the comment section below 👇🏻 

[]

#financewithsharan",2024-06-25,1543087,69908,1063,T45WLa7nTjw
6,How Much Money You Need To Fly Business Class & Private Jets?,"Register for my Retire Early Masterclass: https://bit.ly/3XyGmPY


Subscribe to The 1% Club YouTube channel:
https://www.youtube.com/@getonepercent


Join The 1% Club: https://bit.ly/4bdmlBN

--

Subscribe:

The 1% Club:
YouTube : https://www.youtube.com/@getonepercent
Instagram: https://www.instagram.com/onepercentclub/
Linkedin: https://www.linkedin.com/school/the-1-clubfws/mycompany/


Sharan Hegde:
Instagram: https://www.instagram.com/financewithsharan
LinkedIn: https://www.linkedin.com/in/sharanhegde
Twitter: https://twitter.com/financewsharan


Aakash Anand:
Instagram : https://www.instagram.com/aakash_idam

--

Listen to us on Spotify:
https://podcasters.spotify.com/pod/show/sharan-hegde6/

--

In today's episode, we have serial entrepreneur and investor Aakash Anand, founder of Bellavita, who has announced his latest venture, Unikon.ai. This platform aims to foster meaningful connections for its users by monetizing their time and knowledge.

In this video, we uncover a multitude of fascinating topics:

💼 How Aakash manages his money
🏢 Aakash's secrets about making money
💰 Blueprint to reach 10 Cr for 25-year-olds
📊 Real estate investment tips
🏠 The right time to buy a house
🌟 Lifestyle after a 100 Cr net worth

This video is packed with priceless insights. Dive in now and share your thoughts in the comments below. Let's spark a conversation that breaks barriers! 💬👇🏻

Disclaimer: This video is for educational purposes only. 📚


------------------------------------------------------

Timeline

[0:00] Highlights
[0:55] Lifestyle After 100 Cr Net Worth
[1:50] Business Class vs. Private Jet
[3:40] How Aakash Manages His Money
[4:50] Crazy Real Estate Growth Story
[6:00] Real Estate Investment Tips
[8:18] Right Time to Buy a House
[10:35] Investment in Startups
[11:47] Blueprint for 25-Year-Olds to Reach 10 Cr
[14:09] Aakash's Secrets to Making Money
[15:45] Aakash's Entrepreneurial Breakdown Story
[18:15] Unikon.ai

-------------------------------------------------------------

Sharan Hegde is a personal finance expert who has been featured in Forbes, Economic Times, Mint, Times of India and many more. He is the Founder of The 1% Club, India's biggest finance community which helps people achieve financial independence. 




#financewithsharan #finance #sharanhegde",2024-06-22,179824,4842,213,ARfAct1dbkE
7,Indians Don’t Own Their Time #financewithsharan #shorts,"Who really owns our time? 🇮🇳 

Let me know your thoughts in the comment section below 👇🏻 

[]

#financewithsharan",2024-06-18,4238178,189349,1492,3WLRsagayWo
8,Entrepreneur vs Actor #financewithsharan #shorts,,2024-06-17,106090,3503,37,i3R8UqEg9Fc
9,How He Started His Multi Crore Business #financewithsharan #shorts,"We asked a multi millionaire for his home tour 🏡

We’re taking you behind the scenes with @pavan__anand , the genius architect and jewellery designer to the stars. 

From royal families to Hollywood’s A-list like Goldie Hawn and Nicole Kidman, Pavan’s designs don’t just accessorize; they tell stories.

What’s on the Agenda?
💼 Tour of the unique glass house
⚖️ Plot value - then vs now
🌍 Jewellery - investment vs emotional
🎓 Natural vs lab grown diamonds
💉 Pavan’s personal finance details

This episode isn’t just rich; it’s million-dollar rich!

The full episode is out on our YouTube channel !

[]

#onepercentclubshow",2024-06-13,656288,21728,162,5rFT9ok5cdI
