,Title,Description,Published_date,views,likes,comments,ids
0,How is expense ratio calculated and deducted from you mutual fund? #varsity #zerodha #shorts #mf,,2024-07-05,1134,99,4,hU65ZDS_di4
1,Ep. 5 | Berkshire's choppy returns | The 9/11 impact on insurance business | The AGM Fest,"The period from 1997 to 2001 was a roller-coaster ride for Berkshire Hathaway or, rather, the stock markets globally. The dot-com bubble built up in the late 1990s and then burst in 2000. Berkshire did not see massive rallies or declines because it did not have any technology stocks. 

The US witnessed a major terrorist attack in 2001. As an insurance company, 9/11 was a big blow to Berkshire Hathaway. The impact was amplified because it had recently acquired General Re, a global reinsurance behemoth.

In this episode covering Warren Buffett’s letters from 1997 to 2001, we also discover some quirky facts about Berkshire Hathaway. For the amount of taxes it paid, Berkshire was shouldering more than half a day’s functioning of the US government. And the Berkshire HQ had only 13.8 employees. Wait, what?


00:00 Introduction
01:14 Buffett’s alternative investments
03:28 Started publishing letters online
03:51 Catastrophe bonds
07:28 Low interest rates and high earnings prospects
08:19 Regret about selling McDonald’s 
08:53 Berkshire’s huge tax bill
10:11 Acquisition of General Re
12:16 Acquisition of NetJets
14:33 GEICO’s massive ad spends
17:48 The Tale of RC Willey 
19:58 Cash acquisition vs stock acquisition
21:19 Dexter Shoe was a mistake
23:00 Worst performance ever in 1999
25:00 Outperformance over S&P 500
26:04 Acquired eight companies in 2000
26:16 Bekrshire’s 13.8 employees
27:35 The 9/11 impact
30:24 Is it an AGM or a fest?
34:01 Summary

Previous Episodes:

Episode 1: https://www.youtube.com/watch?v=pZ_Ka4s5fRk&t=0s

Episode 2: https://www.youtube.com/watch?v=Cw_aaeq4eGA&t=0s

Episode 3: https://www.youtube.com/watch?v=mG73R2kjTmE

Episode 4: https://www.youtube.com/watch?v=zcLQewVwcSk

Other Important Links: 

You can put your stock market knowledge to the test by taking the Varsity Certification test here: https://zerodha.com/varsity/certified/

Open Zerodha Account - https://zerodha.com/open-account?c=ZM…


Social Media
Twitter -  https://x.com/ZerodhaVarsity
Instagram -  https://www.instagram.com/zerodhavarsity/?hl=en

#warrenbuffett  #charliemunger  #berkshirehathawayagm #berkshirehathaway  #geico  #generalre #reinsurance  #insurance  #dotcombubble #zerodha  #zerodhavarsity  #shareholderletters",2024-07-03,4815,192,11,kDCoMQXxSKo
2,How insurance companies make money? #varsity #zerodha #shorts #insurance #money,,2024-07-01,9628,340,2,u3Z1dkV_K8g
3,"Do you know, Japan's market did not give returns for more than 30 years? #varsity #zerodha #shorts",,2024-06-29,16989,534,1,B1lNUTaz_CY
4,Why should you invest in an Index Fund? Benefits Explained! #varsity #zerodha #shorts #indexfunds,,2024-06-28,8580,456,12,u77wLiHcv3g
5,What is DuPont Analysis? | 3-point & 5-point Analysis | Fundamental Analysis  (in Hindi),"In this video, Aastha Khurana delves into the intricacies of Dupont Analysis, a powerful financial tool used to dissect a company's Return on Equity (ROE). She starts by explaining the fundamentals of Dupont Analysis, detailing how the formula is derived and how it illuminates the underlying causes of changes in ROE. The video covers both the 3-step and 5-step Dupont Analysis methods, providing a comprehensive understanding of each. Additionally, she discusses the importance of Dupont Analysis for the company's vendors, lenders, and the company itself and concludes with an overview of its limitations. Whether you're an investor, financial analyst, or business owner, this video will enhance your financial analysis skills.

Time Stamps
00:00 Introduction
01:03 What is Return on Equity?
01:30 How to identify the reason for the rise in ROE? - DuPont Analysis
01:43 3 Step Dupont Analysis
03:08 Understanding DuPont Ratios
05:03 5 Step DuPont Analysis
05:50 Understanding Tax & Interest Burden
06:58 What is the need of DuPont Analysis?
07:45 Example of DuPont Analysis - ITC & Tata Consumer
08:53 Limitations of DuPont Analysis
09:26 Conclusion


Links to Refer
Learn more about investing and finance here: 
https://zerodha.com/varsity/modules/

Other Important Links
You can put your stock market knowledge to the test by taking the Varsity Certification test here: https://zerodha.com/varsity/certified/
Open Zerodha Account - https://zerodha.com/open-account?c=ZMPVAR

Social Media
Twitter - https://twitter.com/ZerodhaVarsity
Instagram - https://www.instagram.com/zerodhavarsity/?hl=en

#analysis  #investing  #finance  #stockmarket  #financialeducation  #varsity  #zerodha  #ratio  #profits  #dupont  #roe #analysis  

Featured Playlist
Beginners Guide to Personal Finance
https://www.youtube.com/playlist?list=PLX2SHiKfualGsjgd7fKFC-JXRF6vO73hk",2024-06-26,11002,436,31,OUWpTy7M9aI
6,Warren makes fun of rampant acquisitions! #varsity #zerodha #shorts #warrenbuffett #acquisition,,2024-06-24,5191,155,1,BvLUSc6_HPE
7,Ep - 4 OUT | Crash Course on Warren Buffett's Letter's to shareholders (1992-1996) #varsity #zerodha,,2024-06-22,2715,113,1,feqRr3zNNOU
8,What happens between 3:30 pm to 4:00 pm in the stock market? #varsity #zerodha #shorts #stockmarket,,2024-06-21,12231,714,7,FgkuKZRkEmo
9,"Ep. 4 | Buffett's views on stock splits, beta, diversfication | Stories of GEICO, American Express","A single Berkshire Hathaway share is bigger than most people's entire investment portfolios. Still, Berkshire shares have never been split. Money managers saw an opportunity in this—they started mutual funds that would pool money from smaller investors to clone Berkshire’s portfolio. Warren saw the risks faced by smaller investors in this and found an alternative to stock splits.

Warren Buffett has unconventional views in almost every aspect of investing. He dismissed the use of beta as a measure of risk, did not think he needed diversification to manage risk and called growth investing speculative.

In this episode, covering Buffett’s letters from 1992 to 1996, we travel back in time as we discuss two of his star investments: GEICO and American Express.

00:00 Introduction
00:55 Berkshire’s share price
02:52 Berkshire avoided stock splits
04:15 Agenda and economic scene
05:27 Investments in 1990s
06:09 Fully acquired GEICO
09:02 American Express
10:35 Types of businesses preferred by Buffett
12:25 Not-so-diversified portfolio
14:24 Buffett disliked Beta
17:06 Value vs growth investing
20:15 Is size a problem or an advantage?
23:09 Buffett’s investing mistakes
25:47 Earnings target for 2000
27:27 Alternative to stock split
32:08 Summary

Previous episodes:
Episode 1: https://www.youtube.com/watch?v=pZ_Ka4s5fRk&t=0s

Episode 2:  https://www.youtube.com/watch?v=Cw_aaeq4eGA&t=0s

Episode 3: https://www.youtube.com/watch?v=mG73R2kjTmE 

Other Important Links
You can put your stock market knowledge to the test by taking the Varsity Certification test here: https://zerodha.com/varsity/certified/
Open Zerodha Account - https://zerodha.com/open-account?c=ZM...

Social Media
Twitter -  https://x.com/ZerodhaVarsity 
Instagram -  https://www.instagram.com/zerodhavarsity/?hl=en 

#warrenbuffett  #charliemunger  #berkshirehathaway  #investmentrisks  #beta  #diversification  #americanexpress  #buffett  #zerodha  #zerodhavarsity #shareholder  #value  #growth",2024-06-19,11655,359,19,zcLQewVwcSk
